Flowers,Link,Origin,Description,,,,,,,,
daisy,https://en.wikipedia.org/wiki/Daisy,Nơi xuất hiện loài hoa này đầu tiên được cho là từ Nhật Bản và Trung Quốc. Đến khoảng thế kỷ XV thì hoa cúc đã du nhập vào Việt Nam.,"Họ Cúc (tên khoa học: Asteraceae hoặc Compositae), còn gọi là họ Hướng dương, họ Cúc tây, là một họ thực vật có hoa hai lá mầm được điển hình hóa thành tên gọi phổ biến chung là hoa cúc. Các loài trong họ Cúc thông thường có một hoặc cả hai loại hoa con. Vòng ngoài của cụm hoa hình đầu tương tự như ở hoa hướng dương được cấu thành từ các hoa con có dạng cánh hoa dài.",,,,,,,,
dandelion,https://en.wikipedia.org/wiki/Taraxacum,"Có nguồn gốc từ các nước ôn đới thuộc khu vực Đông Nam Á, sau đó lan ra khắp các khu vực trên thế giới.","Bồ công anh hay rau bồ cóc, diếp hoang, diếp dại, mót mét, mũi mác, diếp trời, rau mũi cày là một loài cây thân thảo thuộc họ Cúc (Asteraceae), sống một năm hoặc hai năm. Thân không lông, cao 60–200 cm, thân thường đơn hoặc chẻ nhánh ở phần trên. Các lá phía dưới không lông, lá đơn mọc cách. Mép lá nguyên hoặc xẻ thùy hoặc có răng cưa thô to.",,,,,,,,
rose,https://en.wikipedia.org/wiki/Rose,"Phần lớn có nguồn gốc bản địa châu Á, số ít còn lại có nguồn gốc bản địa châu Âu, Bắc Mỹ, và Tây Bắc Phi.","Hồng hay hường là tên gọi chung cho các loài thực vật có hoa dạng cây bụi hoặc cây leo lâu năm thuộc chi Rosa, họ Rosaceae, với hơn 100 loài với màu hoa đa dạng. Các loài bản địa, giống cây trồng và cây lai ghép đều được trồng làm cảnh và lấy hương thơm.",,,,,,,,
sunflower,https://en.wikipedia.org/wiki/Common_sunflower,Có nguồn gốc từ Bắc Mỹ và ngày nay hoa hướng dương đã có mặt khắp mọi nơi trên thế giới.,"Hướng Dương (hay còn gọi là Hướng Dương Quỳ Tử, Thiên Quỳ Tử, Quỳ Tử, Quỳ Hoa Tử) là loài hoa thuộc họ Cúc. Lá to, thường mọc so le, có cuống dài, phiến lá hình trứng đầu nhọn, phía dưới hình tim, mép có răng cưa, hai mặt đều có lông trắng. Cụm hoa đầu lớn, đường kính 7-20 cm, bao chung hình trứng.",,,,,,,,
tulip,https://en.wikipedia.org/wiki/Tulip,"Có nguồn gốc ở vùng Trung Đông, được đưa vào châu Âu vào thế kỷ XVI.","Hoa Tulip còn có tên gọi khác là uất kim cương, là một chi thực vật có hoa trong họ Liliaceae. Hiện nay hoa tulip được trồng ở khắp nơi trên thế giới. Hà Lan nổi tiếng là nước xuất khẩu hoa Tulip và có nhiều phong cảnh cánh đồng hoa tuyệt đẹp.",,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,S
